Produktname,Kategorie,Beschreibung,Bilder,Allergien,Scharf,Knoblauchintensität,Ernährungsform,Preiseinheit,Preis,Saisonal,Verfügbarkeitszeitraum,Mindesthaltbarkeit
Melansane Hummus,Hummus,mit Kichererbsen,,,Nein,mit Knoblauch,Vegan,100 Gramm,"3,8",Nein,,3 Tage
Marokkanischer Hummus,Hummus,mit Kichererbsen und Koriander,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,3 Tage
Red Pepper Hummus,Hummus,mit Kichererbsen,,,leicht Scharf,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,3 Tage
Mediterraner Hummus,Hummus,mit Oliven-pomodori,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,3 Tage
Libanesischer Hummus,Hummus,mit Kichererbsen,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,3 Tage
Gegrillte Antipasti-Aubergine,Antipasti & Gemüse,,,,Nein,mit Knoblauch,Vegan,100 Gramm,"4,8",Nein,,3 Tage
Italienische Pomodori,Antipasti & Gemüse,,,,Nein,Hauch Knoblauch,Vegan,100 Gramm,"4,9",Nein,,10 Tage
Zucchini Ratatouille,Antipasti & Gemüse,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"4,8",Nein,,3 Tage
Libanesischer Tabouleh,Salate,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,2 Tage
Pepaco Creme,Frischkäse-Cremes,"exotisch, süß-scharf",,,leicht Scharf,ohne Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Basilikum Creme,Frischkäse-Cremes,"würzig, aromatisch",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Feige-Rosmarin Creme,Frischkäse-Cremes,"leicht süß, aromatisch",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Cranberry-Chili Creme,Frischkäse-Cremes,süß-scharf,,,leicht Scharf,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Dattel-Kokos Creme,Frischkäse-Cremes,"exotisch, fein süß",,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Mediterrane Creme,Frischkäse-Cremes,würzig,,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Peperoncino Creme,Frischkäse-Cremes,scharf,,,Scharf,mit Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Peperoni Creme,Frischkäse-Cremes,"würzig, leicht scharf",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Knoblauch Creme,Frischkäse-Cremes,würzig,,,leicht Scharf,mit Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Bärlauch Creme,Frischkäse-Cremes,,,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"4,8",Ja,,3 Tage
Thunfisch Creme,Frischkäse-Cremes,,,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Melanzane Creme,Frischkäse-Cremes,,,,Nein,mit Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Kichererbsensalat,Salate,      ,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,
Linsensalat,Salate,Im mediterranen Stil,,,leicht Scharf,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,
Mediterrane Melansane,Antipasti & Gemüse,"Im mediterranen Stil, mit Tomaten und Knoblauch",,,Nein,mit Knoblauch,Vegan,100 Gramm,"4,9",Nein,,
Melansane Babaganusch,Antipasti & Gemüse,"Im Baba Ghanoush Stil mit Knoblauch, Crunchy, Zwiebel, Minze",,,Nein,mit Knoblauch,Vegan,100 Gramm,"4,8",Nein,,3 Tage
Mediterraner Couscous-Salat,Salate,Im mediterranen Stil,,,leicht Scharf,ohne Knoblauch,Vegan,100 Gramm,"3,2",Nein,,3 Tage
Marokkanischer Couscous-Salat,Salate,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,2",Nein,,3 Tage
Chilikäsewürfel,Antipasti & Gemüse,"Im mediterranen Stil, mit Chili und kräuter, 40% fett",,,Scharf,mit Knoblauch,Milchprodukt,100 Gramm,4,Nein,,3 tage
Basilikumkäsewürfel,Antipasti & Gemüse,eingelegt mit frische Basilikum Pesto,,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,4,Nein,,3 tage
Tomatenpesto,Pesto,,,,Nein,mit Knoblauch,Vegan,100 Gramm,"4,5",Nein,,
Orientalisches Minzpesto,Pesto,"aromatisch, vielseitig. Ein Genuss zu Hummus, Käse, Kartoffeln, Reis, Nudeln",,,Nein,ohne Knoblauch,Vegan,100 Gramm,"4,8",Nein,,
Spinat-Börek-Rolle,Rolle,,,,Nein,ohne Knoblauch,Vegan,Stück,2,Nein,,
Kraut-Rolle,Rolle,mit Schafskäse,,,Nein,ohne Knoblauch,Vegan,Stück,"3,8",Nein,,
Schafskäse-Börek-Rolle,Rolle,,,,Nein,ohne Knoblauch,Milchprodukt,Stück,2,Nein,,
Ratatouille-Rolle,Rolle,"Gemüse, leicht scharf",,,leicht Scharf,ohne Knoblauch,Vegan,Stück,"3,8",Nein,,
Hummus-Falafel-Rolle,Rolle,,,,Nein,mit Knoblauch,Vegan,Stück,"3,8",Nein,,
Falafel,Rolle,hausgemacht,,,Nein,ohne Knoblauch,Vegan,Stück,"1,7",Nein,,
Melansane-Rolle,Rolle,mit Schafkäse,,,Scharf,mit Knoblauch,Vegetarisch,Stück,"3,8",Nein,,
Linsen-Rolle,Rolle,"mit Linsen, Houmous",,,Nein,ohne Knoblauch,Vegan,Stück,"3,8",Nein,,
Petersiliensalat,Salate,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,,Nein,,
